[2024-09-21 12:14:26,414] 160 numexpr.utils - INFO - NumExpr defaulting to 4 threads.
[2024-09-21 12:14:30,503] 96 werkzeug - WARNING -  * Debugger is active!
[2024-09-21 12:14:30,509] 96 werkzeug - INFO -  * Debugger PIN: 774-876-830
[2024-09-21 12:15:14,416] 96 werkzeug - INFO - 192.168.29.95 - - [21/Sep/2024 12:15:14] "GET / HTTP/1.1" 200 -
[2024-09-21 12:15:23,066] 59 root - INFO - Entered inited_data_ingestion method of data_injestion class.
[2024-09-21 12:15:23,066] 37 root - INFO - Exporting data from mongodb:
[2024-09-21 12:15:25,816] 47 root - INFO - Saving the exported data into feature store file path: artifacts
[2024-09-21 12:15:25,872] 64 root - INFO - Got the data from mongodb.
[2024-09-21 12:15:25,872] 66 root - INFO - Exeted inited_data_ingestion method of data_injestion class.
[2024-09-21 12:15:25,872] 46 root - INFO - Entered the initiated data transformation method of data transformation class.
[2024-09-21 12:15:26,047] 43 root - INFO - Entered the save_object method of MainUtils class
[2024-09-21 12:15:26,051] 51 root - INFO - Exited the save_object method of MainUtils class
[2024-09-21 12:15:26,052] 101 root - INFO - Splitting training and testing input and target feature
[2024-09-21 12:15:26,052] 108 root - INFO - Extracting model config file path
[2024-09-21 12:15:26,052] 110 root - INFO - Extracting model config file path
[2024-09-21 12:16:27,404] 133 root - INFO - Best found model on both training and testing dataset
[2024-09-21 12:16:27,404] 135 root - INFO - Saving model at path: artifacts\model.pkl
[2024-09-21 12:16:27,406] 43 root - INFO - Entered the save_object method of MainUtils class
[2024-09-21 12:16:27,410] 51 root - INFO - Exited the save_object method of MainUtils class
[2024-09-21 12:16:27,412] 96 werkzeug - INFO - 192.168.29.95 - - [21/Sep/2024 12:16:27] "GET /train HTTP/1.1" 200 -
[2024-09-21 12:17:10,387] 96 werkzeug - INFO - 192.168.29.95 - - [21/Sep/2024 12:17:10] "GET /predict HTTP/1.1" 200 -
[2024-09-21 12:17:10,417] 96 werkzeug - INFO - 192.168.29.95 - - [21/Sep/2024 12:17:10] "[33mGET /static/css/style.css HTTP/1.1[0m" 404 -
[2024-09-21 12:17:10,418] 96 werkzeug - INFO - 192.168.29.95 - - [21/Sep/2024 12:17:10] "[33mGET /script.js HTTP/1.1[0m" 404 -
